Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
SRS1992999	29874292.0	0.0	29874292.0	0.0	14937146.0	14937146.0	24228649.0	23489954.0	5645643.0	19398192.0	29874292.0	0.0	242911.0	0.0	0.0	108966.0	3737242855.0	1868582541.0	1868660314.0	3031294485.0	2991584812.0	0.0	0.0	33449341.0	0.01118114	125.0	125.0	125.0	126.0	126.0	126.0	35.9	577.2	204.9	11358830.0	64931.0	34874.0	286342.0	64.9	81.10200235038207	78.62932450415896	18.89799764961794	64.93272543496596	100.0	0.0	0.8131104830869297	0.0
SRS1993000	22992896.0	0.0	22992896.0	0.0	11496448.0	11496448.0	18801515.0	18459472.0	4191381.0	17084144.0	22992896.0	0.0	220436.0	0.0	0.0	69668.0	2858263020.0	1429070927.0	1429192093.0	2337439642.0	2317865374.0	0.0	0.0	10593457.0	0.00457035	124.0	124.0	124.0	126.0	126.0	126.0	36.9	424.8	196.4	8951912.0	158995.0	31596.0	87233.0	74.3	81.77097395647769	80.28337100293935	18.22902604352231	74.30183653246638	100.0	0.0	0.958713508728957	0.0
SRS1993001	37390614.0	0.0	37390614.0	0.0	18695307.0	18695307.0	27017751.0	26048088.0	10372863.0	22108534.0	37390614.0	0.0	454075.0	0.0	0.0	147259.0	4680865805.0	2340372275.0	2340493530.0	3382428642.0	3318742547.0	0.0	0.0	51828774.0	0.01561699	125.0	125.0	125.0	126.0	126.0	126.0	36.3	501.5	222.9	12516156.0	65810.0	17864.0	424214.0	59.1	72.258110016594	69.66477736899425	27.741889983405997	59.12856632950718	100.0	0.0	1.2144090492870752	0.0
SRS1993002	24462554.0	0.0	24462554.0	0.0	12231277.0	12231277.0	17949915.0	17382050.0	6512639.0	15774336.0	24462554.0	0.0	271507.0	0.0	0.0	123318.0	3054242645.0	1527104183.0	1527138462.0	2242105104.0	2200522152.0	0.0	0.0	36954785.0	0.01679364	124.0	125.0	125.0	126.0	126.0	126.0	36.3	453.4	189.0	8366970.0	76723.0	36129.0	211203.0	64.5	73.37710935661093	71.0557450379057	26.622890643389074	64.4836021619002	100.0	0.0	1.1098881989182323	0.0
SRS1993003	32782488.0	0.0	32782488.0	0.0	16391244.0	16391244.0	25796326.0	25197960.0	6986162.0	23720830.0	32782488.0	0.0	323247.0	0.0	0.0	150277.0	4064857882.0	2032373477.0	2032484405.0	3200742922.0	3150067554.0	0.0	0.0	50018162.0	0.01587844	123.0	124.0	124.0	126.0	126.0	126.0	37.1	381.0	177.9	12054566.0	279305.0	39392.0	225717.0	72.4	78.68934780056962	76.86408670385238	21.31065219943038	72.35823589716559	100.0	0.0	0.9860355931496109	0.0
SRS1993004	30052042.0	0.0	30052042.0	0.0	15026021.0	15026021.0	21846779.0	20973884.0	8205263.0	19194394.0	30052042.0	0.0	288821.0	0.0	0.0	162395.0	3751571887.0	1875737045.0	1875834842.0	2728263722.0	2649001972.0	0.0	0.0	65174693.0	0.02460349	124.0	125.0	125.0	126.0	126.0	126.0	36.7	400.9	187.6	9992574.0	118309.0	16447.0	359612.0	63.9	72.69648764633033	69.7918763723277	27.303512353669678	63.87051502190766	100.0	0.0	0.9610694674258741	0.0
SRS1993006	31630876.0	0.0	31630876.0	0.0	15815438.0	15815438.0	24759023.0	24020182.0	6871853.0	21544720.0	31630876.0	0.0	304269.0	0.0	0.0	152238.0	3946891810.0	1973404352.0	1973487458.0	3091039489.0	3039473666.0	0.0	0.0	47504318.0	0.01562913	124.0	125.0	125.0	126.0	126.0	126.0	36.3	473.6	194.9	11569896.0	112318.0	37032.0	290845.0	68.1	78.27485713642581	75.93903501123395	21.725142863574188	68.11294129191995	100.0	0.0	0.9619366849024351	0.0
SRS1993058	14781754.0	0.0	14781754.0	0.0	7390877.0	7390877.0	11759402.0	11204966.0	3022352.0	9834412.0	14781754.0	0.0	217776.0	0.0	0.0	57681.0	1841413174.0	920685331.0	920727843.0	1465582547.0	1426906184.0	0.0	0.0	37479735.0	0.02626643	124.0	125.0	125.0	126.0	126.0	126.0	36.6	428.3	208.8	5228002.0	81396.0	10439.0	282646.0	66.5	79.5534954782768	75.80268214448705	20.4465045217232	66.53075135738288	100.0	0.0	1.4732757695737597	0.0
SRS1993062	33789356.0	0.0	33789356.0	0.0	16894678.0	16894678.0	27335063.0	26732266.0	6454293.0	24676494.0	33789356.0	0.0	492215.0	0.0	0.0	142023.0	4211759853.0	2105833929.0	2105925924.0	3410043528.0	3353367885.0	0.0	0.0	57314536.0	0.01709163	124.0	125.0	125.0	126.0	126.0	126.0	37.1	393.5	194.9	12865212.0	188671.0	23266.0	288984.0	73.0	80.89844328492084	79.11445841110437	19.101556715079152	73.030376784926	100.0	0.0	1.4567161327371851	0.0
SRS1993066	33707248.0	0.0	33707248.0	0.0	16853624.0	16853624.0	17459496.0	16794064.0	16247752.0	14050822.0	33707248.0	0.0	290682.0	0.0	0.0	72045.0	4188165754.0	2094040340.0	2094125414.0	2173956022.0	2133074238.0	0.0	0.0	35665899.0	0.01672042	124.0	124.0	124.0	126.0	126.0	126.0	36.3	516.5	239.8	8046827.0	125472.0	17204.0	207529.0	41.7	51.79745317683603	49.82330209811255	48.20254682316396	41.68486848881878	100.0	0.0	0.8623723894635362	0.0
