genome	MAG	Representative
SRS1992972_vamb_661	MAG27	SRS1992988_vamb_603
SRS1992974_vamb_216	MAG28	SRS1992974_vamb_216
SRS1992974_vamb_2580	MAG07	SRS1993108_vamb_3038
SRS1992974_vamb_402	MAG29	SRS1993058_vamb_132
SRS1992974_vamb_699	MAG30	SRS1992999_vamb_699
SRS1992976_vamb_1329	MAG07	SRS1993108_vamb_3038
SRS1992976_vamb_365	MAG23	SRS1993058_vamb_521
SRS1992978_vamb_1277	MAG18	SRS1992978_vamb_1277
SRS1992978_vamb_1401	MAG11	SRS1992960_vamb_507
SRS1992978_vamb_1743	MAG23	SRS1993058_vamb_521
SRS1992980_vamb_1348	MAG07	SRS1993108_vamb_3038
SRS1992980_vamb_1630	MAG25	SRS1992972_vamb_2712
SRS1992980_vamb_2338	MAG03	SRS1992958_vamb_477
SRS1992980_vamb_281	MAG31	SRS1992980_vamb_281
SRS1992980_vamb_602	MAG02	SRS1992958_vamb_2840
SRS1992988_vamb_1045	MAG24	SRS1992988_vamb_1045
SRS1992988_vamb_1329	MAG07	SRS1993108_vamb_3038
SRS1992988_vamb_1442	MAG06	SRS1993132_vamb_4798
SRS1992988_vamb_2039	MAG23	SRS1993058_vamb_521
SRS1992988_vamb_411	MAG32	SRS1992988_vamb_411
SRS1992988_vamb_603	MAG27	SRS1992988_vamb_603
SRS1992988_vamb_733	MAG33	SRS1992988_vamb_733
SRS1992990_vamb_2456	MAG11	SRS1992960_vamb_507
SRS1992991_vamb_1277	MAG18	SRS1992978_vamb_1277
SRS1992991_vamb_1348	MAG07	SRS1993108_vamb_3038
SRS1992991_vamb_1403	MAG03	SRS1992958_vamb_477
SRS1992991_vamb_602	MAG02	SRS1992958_vamb_2840
SRS1992991_vamb_699	MAG30	SRS1992999_vamb_699
SRS1992992_vamb_1277	MAG18	SRS1992978_vamb_1277
SRS1992992_vamb_1294	MAG23	SRS1993058_vamb_521
SRS1992992_vamb_1488	MAG03	SRS1992958_vamb_477
SRS1992993_vamb_3060	MAG07	SRS1993108_vamb_3038
SRS1992993_vamb_7866	MAG03	SRS1992958_vamb_477
SRS1992994_vamb_1022	MAG07	SRS1993108_vamb_3038
SRS1992995_vamb_1198	MAG34	SRS1992995_vamb_1198
SRS1992995_vamb_134	MAG35	SRS1992995_vamb_134
SRS1992995_vamb_1482	MAG07	SRS1993108_vamb_3038
SRS1992995_vamb_1499	MAG36	SRS1993003_vamb_1521
SRS1992995_vamb_1517	MAG37	SRS1992995_vamb_1517
SRS1992995_vamb_1666	MAG38	SRS1993002_vamb_1284
SRS1992995_vamb_188	MAG39	SRS1993004_vamb_683
SRS1992995_vamb_196	MAG40	SRS1993001_vamb_200
SRS1992995_vamb_497	MAG41	SRS1993002_vamb_903
SRS1992995_vamb_516	MAG02	SRS1992958_vamb_2840
SRS1992995_vamb_604	MAG42	SRS1992995_vamb_604
SRS1992995_vamb_607	MAG43	SRS1993002_vamb_109
SRS1992995_vamb_640	MAG14	SRS1992995_vamb_640
SRS1992995_vamb_692	MAG30	SRS1992999_vamb_699
SRS1992995_vamb_8	MAG12	SRS1992995_vamb_8
SRS1992995_vamb_854	MAG44	SRS1992995_vamb_854
SRS1992995_vamb_886	MAG45	SRS1992995_vamb_886
SRS1992998_vamb_1280	MAG11	SRS1992960_vamb_507
SRS1992998_vamb_1350	MAG05	SRS1993000_vamb_1021
SRS1992998_vamb_1423	MAG08	SRS1992999_vamb_2008
SRS1992998_vamb_169	MAG46	SRS1992998_vamb_169
SRS1992998_vamb_1704	MAG03	SRS1992958_vamb_477
SRS1992998_vamb_2058	MAG36	SRS1993003_vamb_1521
SRS1992998_vamb_272	MAG47	SRS1992998_vamb_272
SRS1992998_vamb_28	MAG48	SRS1992998_vamb_28
SRS1992998_vamb_411	MAG32	SRS1992988_vamb_411
SRS1992999_vamb_1305	MAG49	SRS1992999_vamb_1305
SRS1992999_vamb_15313	MAG50	SRS1992999_vamb_15313
SRS1992999_vamb_1543	MAG51	SRS1993002_vamb_1543
SRS1992999_vamb_1601	MAG34	SRS1992995_vamb_1198
SRS1992999_vamb_164	MAG41	SRS1993002_vamb_903
SRS1992999_vamb_1899	MAG36	SRS1993003_vamb_1521
SRS1992999_vamb_2008	MAG08	SRS1992999_vamb_2008
SRS1992999_vamb_268	MAG52	SRS1992999_vamb_268
SRS1992999_vamb_2778	MAG03	SRS1992958_vamb_477
SRS1992999_vamb_441	MAG53	SRS1992999_vamb_441
SRS1992999_vamb_699	MAG30	SRS1992999_vamb_699
SRS1992999_vamb_759	MAG54	SRS1992999_vamb_759
SRS1993000_vamb_102	MAG55	SRS1993000_vamb_102
SRS1993000_vamb_1021	MAG05	SRS1993000_vamb_1021
SRS1993000_vamb_126	MAG21	SRS1993000_vamb_126
SRS1993000_vamb_153	MAG56	SRS1993000_vamb_153
SRS1993000_vamb_267	MAG57	SRS1993000_vamb_267
SRS1993000_vamb_338	MAG58	SRS1993000_vamb_338
SRS1993000_vamb_341	MAG59	SRS1993000_vamb_341
SRS1993000_vamb_740	MAG60	SRS1993000_vamb_740
SRS1993000_vamb_759	MAG54	SRS1992999_vamb_759
SRS1993001_vamb_1000	MAG61	SRS1993134_vamb_260
SRS1993001_vamb_106	MAG62	SRS1993150_vamb_106
SRS1993001_vamb_110	MAG63	SRS1993004_vamb_110
SRS1993001_vamb_114	MAG64	SRS1993092_vamb_114
SRS1993001_vamb_1351	MAG07	SRS1993108_vamb_3038
SRS1993001_vamb_139	MAG30	SRS1992999_vamb_699
SRS1993001_vamb_1632	MAG39	SRS1993004_vamb_683
SRS1993001_vamb_1659	MAG08	SRS1992999_vamb_2008
SRS1993001_vamb_1672	MAG05	SRS1993000_vamb_1021
SRS1993001_vamb_183	MAG65	SRS1993001_vamb_183
SRS1993001_vamb_199	MAG66	SRS1993106_vamb_199
